# Observed Wavelength Air (nm)  	 
# Unc.  (nm)  	 
# Ritz Wavelength Air (nm)  	 
# Unc.  (nm)  
#  Rel.  Int.  (?) 
#  Aki (s-1)  
#  Acc.  Ei (cm-1)  
#   Ek (cm-1)  
#  Lower Level Conf., Term, J  
#  Upper Level Conf., Term, J  
#  Type  TP Ref.  
# Line
# Ref.
# 																		 
350.12154   	0.00005  	350.12159   	0.00010   	 2000  	1.2e+06  	  D 	134 459.2871  	-  	163 012.6247  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 1  	 2s22p5(2P°3/2)4p  	 2[3/2]  	 1  		T8043 	L3451
351.07207   	0.00005  	351.07207   	0.00010   	 500  	2.2e+05  	  D 	134 041.8400  	-  	162 517.8755  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 2  	 2s22p5(2P°3/2)4p  	 2[1/2]  	 1  		T8043 	L3451
351.51900   	0.00005  	351.51902   	0.00010   	 2000  	6.9e+05  	  D 	134 459.2871  	-  	162 899.1169  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 1  	 2s22p5(2P°3/2)4p  	 2[5/2]  	 2  		T8043 	L3451
352.04714   	0.00005  	352.04711   	0.00010   	 10000  	9.3e+06  	  C 	135 888.7173  	-  	164 285.8872  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°1/2)4p  	 2[1/2]  	 0  		T172 	L3451
356.29551   	0.00005  	356.29536   	0.00010   	 150  	  	   	134 459.2871  	-  	162 517.8755  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 1  	 2s22p5(2P°3/2)4p  	 2[1/2]  	 1  		  	L3451
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
359.35263   	0.00005  	359.35257   	0.00010   	 5000  	9.9e+05  	  D 	135 888.7173  	-  	163 708.6029  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°1/2)4p  	 2[3/2]  	 2  		T8043 	L3451
359.36385   	0.00004  	359.36389   	0.00010   	 3000  	6.6e+05  	  D 	135 888.7173  	-  	163 707.7261  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°1/2)4p  	 2[1/2]  	 1  		T8043 	L5951
360.01694   	0.00005  	360.01685   	0.00010   	 1000  	4.3e+05  	  D 	135 888.7173  	-  	163 657.2726  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°1/2)4p  	 2[3/2]  	 1  		T8043 	L3451
360.91787   	0.00005  	360.91786   	0.00010   	 500  	  	   	134 818.6405  	-  	162 517.8755  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 0  	 2s22p5(2P°3/2)4p  	 2[1/2]  	 1  		  	L3451
363.36643   	0.00005  	363.36640   	0.00010   	 1000  	1.1e+06  	  D 	135 888.7173  	-  	163 401.3061  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°3/2)4p  	 2[1/2]  	 0  		T8043 	L3451
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
368.22421   	0.00005  	368.22421   	0.00010   	 1000  	1.6e+05  	  D 	135 888.7173  	-  	163 038.3544  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°3/2)4p  	 2[3/2]  	 2  		T8043 	L3451
368.57351   	0.00005  	368.57352   	0.00010   	 1000  	3.9e+05  	  D 	135 888.7173  	-  	163 012.6247  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°3/2)4p  	 2[3/2]  	 1  		T8043 	L3451
370.12247   	0.00005  	370.12244   	0.00010   	 400  	2.2e+05  	  D 	135 888.7173  	-  	162 899.1169  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°3/2)4p  	 2[5/2]  	 2  		T8043 	L3451
375.42148   	0.00005  	375.42151   	0.00010   	 500  	  	   	135 888.7173  	-  	162 517.8755  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°3/2)4p  	 2[1/2]  	 1  		  	L3451
376.5819    	0.0020   	376.583956  	0.000020  	 50f  	  	   	135 888.7173  	-  	162 435.6780  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°1/2)3d  	 2[3/2]°  	 1  	UT 	  	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
376.8047    	0.0020   	376.806753  	0.000020  	 50f  	  	   	135 888.7173  	-  	162 419.9818  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°1/2)3d  	 2[3/2]°  	 2  	UT 	  	L3469
376.9449    	0.0020   	376.946108  	0.000020  	 70f  	  	   	135 888.7173  	-  	162 410.1736  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°1/2)3d  	 2[5/2]°  	 3  	UT 	  	L3469
376.9654    	0.0020   	376.967714  	0.000020  	 50f  	  	   	135 888.7173  	-  	162 408.6535  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°1/2)3d  	 2[5/2]°  	 2  	UT 	  	L3469
388.2698    	0.0020   	388.271148  	0.000021  	 20f  	  	   	135 888.7173  	-  	161 636.6175  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°3/2)3d  	 2[3/2]°  	 1  	UT 	  	L3469
388.7134    	0.0020   	388.714352  	0.000021  	 10f  	  	   	135 888.7173  	-  	161 607.2609  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°3/2)3d  	 2[3/2]°  	 2  	UT 	  	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
388.9427    	0.0020   	388.943335  	0.000021  	 50f  	  	   	135 888.7173  	-  	161 592.1200  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°3/2)3d  	 2[7/2]°  	 3  	UT 	  	L3469
389.9723    	0.0020   	389.974242  	0.000022  	 20f  	  	   	135 888.7173  	-  	161 524.1739  	 2s22p5(2P°1/2)3s  	 2[1/2]°  	 1  	 2s22p5(2P°3/2)3d  	 2[1/2]°  	 1  	UT 	  	L3469
394.3540    	0.0020   	394.3545    	0.0012    	 20  	  	   	148 257.7898  	-  	173 608.51    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)10d  	 2[3/2]°  	 2  		  	L3469
398.4065    	0.0020   	398.4050    	0.0014    	 20  	  	   	148 257.7898  	-  	173 350.78    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)9d  	 2[3/2]°  	 1  		  	L3469
